乙酰半胱氨酸注射液|肝衰竭
氟罗沙星葡萄糖注射液|淋病奈瑟菌性尿道炎
氟罗沙星葡萄糖注射液|泌尿生殖系统感染
氟罗沙星葡萄糖注射液|伤寒沙门菌感染
氟罗沙星葡萄糖注射液|细菌性痢疾
氟罗沙星葡萄糖注射液|皮肤软组织感染
氟罗沙星葡萄糖注射液|骨感染
氟罗沙星葡萄糖注射液|腹腔感染
氟罗沙星葡萄糖注射液|盆腔感染
阿普唑仑片|焦虑
阿普唑仑片|紧张
阿普唑仑片|激动
盐酸昂丹司琼氯化钠注射液|恶心
盐酸昂丹司琼氯化钠注射液|呕吐
注射用丙氨酰谷氨酰胺|肠外营养
盐酸麻黄碱注射液|低血压症
盐酸麻黄碱注射液|慢性低血压症
帕拉米韦氯化钠注射液|普通流行性感冒
帕拉米韦氯化钠注射液|甲型流行性感冒
帕拉米韦氯化钠注射液|流感
注射用盐酸纳洛酮|呼吸抑制
注射用盐酸纳洛酮|急性乙醇中毒
炎琥宁氯化钠注射液|肺毒性肺炎
炎琥宁氯化钠注射液|急性咽喉炎
炎琥宁氯化钠注射液|扁桃体炎
炎琥宁氯化钠注射液|急性支气管炎
炎琥宁氯化钠注射液|急慢性结肠炎
炎琥宁氯化钠注射液|肠胃炎
炎琥宁氯化钠注射液|急性痢疾
炎琥宁氯化钠注射液|急慢性病毒性肝炎
炎琥宁氯化钠注射液|急性肾盂肾炎
炎琥宁氯化钠注射液|膀胱炎
炎琥宁氯化钠注射液|尿路感染
炎琥宁氯化钠注射液|儿童急性感染
炎琥宁氯化钠注射液|病毒性上呼吸道感染
炎琥宁氯化钠注射液|婴幼儿肺炎
炎琥宁氯化钠注射液|病毒性肠炎腮
炎琥宁氯化钠注射液|腺炎
炎琥宁氯化钠注射液|带状疱疹
炎琥宁氯化钠注射液|疱疹性咽喉炎
炎琥宁氯化钠注射液|病毒性心肌炎
炎琥宁氯化钠注射液|中耳炎
炎琥宁氯化钠注射液|慢性鼻炎
炎琥宁氯化钠注射液|鼻窦炎
利巴韦林氯化钠注射液|呼吸道感染
利巴韦林氯化钠注射液|泌尿道感染
利巴韦林氯化钠注射液|腹膜感染
利巴韦林氯化钠注射液|胸膜感染
利巴韦林氯化钠注射液|皮肤和软组织感染
利巴韦林氯化钠注射液|骨关节感染
利巴韦林氯化钠注射液|败血症
利巴韦林氯化钠注射液|脑膜炎
赖诺普利氢氯噻嗪片|高血压
棓丙酯葡萄糖注射液|脑血栓
棓丙酯葡萄糖注射液|冠心病
棓丙酯葡萄糖注射液|血栓性深静脉炎
托拉塞米分散片|充血性心力衰竭
苯巴比妥钠注射液|癫痫
苯巴比妥钠注射液|惊厥
替吉奥片|胃癌
替米沙坦片|高血压
替米沙坦片|心肌梗死
替米沙坦片|卒中
替米沙坦片|高危2型糖尿病
注射用氢化可的松琥珀酸钠|中毒性感染
注射用氢化可的松琥珀酸钠|过敏性休克
注射用氢化可的松琥珀酸钠|肾上腺皮质功能减退症
注射用氢化可的松琥珀酸钠|结缔组织病
注射用氢化可的松琥珀酸钠|支气管哮喘
注射用氢化可的松琥珀酸钠|移植物急性排斥反应
单硝酸异山梨酯缓释片|冠心病
单硝酸异山梨酯缓释片|心绞痛
单硝酸异山梨酯缓释片|心肌梗死
单硝酸异山梨酯缓释片|慢性充血性心力衰竭
硝西泮片|失眠症
硝西泮片|惊厥
硝西泮片|癫痫
棓丙酯氯化钠注射液|脑血栓
棓丙酯氯化钠注射液|冠心病
棓丙酯氯化钠注射液|血栓性深静脉炎
多索茶碱氯化钠注射液|支气管哮喘
多索茶碱氯化钠注射液|喘息型慢性支气管炎
多索茶碱氯化钠注射液|支气管痉挛
低分子肝素钙注射液|肝昏迷
低分子肝素钙注射液|精神分裂症
低分子肝素钙注射液|癫痫
注射用阿奇霉素|获得性肺炎
注射用阿奇霉素|盆腔炎
阿托伐他汀钙分散片|高胆固醇血症
阿托伐他汀钙分散片|冠心病
阿托伐他汀钙分散片|糖尿病
阿托伐他汀钙分散片|症状性动脉粥样硬化
阿托伐他汀钙分散片|合并高胆固醇血症
阿托伐他汀钙分散片|混合型血脂异常
司唑仑片|焦虑
司唑仑片|失眠
司唑仑片|紧张
司唑仑片|恐惧
司唑仑片|癫痫
司唑仑片|惊厥
苯巴比妥片|焦虑
苯巴比妥片|失眠
苯巴比妥片|癫痫
苯巴比妥片|运动障碍
苯巴比妥片|高胆红素血症
注射用盐酸氯普鲁卡因|巨细胞性贫血
注射用盐酸氯普鲁卡因|结肠癌
复方茶碱甲麻黄碱片|慢性支气管炎
复方茶碱甲麻黄碱片|支气管哮喘
复方茶碱甲麻黄碱片|迁延型急性支气管炎
复方戊酸雌二醇片|激素缺乏综合症
双氯芬酸钾分散片|扭伤
双氯芬酸钾分散片|肌肉拉伤
双氯芬酸钾分散片|原发性痛经
双氯芬酸钾分散片|附件炎
双氯芬酸钾分散片|脊柱综合征
双氯芬酸钾分散片|非关节性风湿病
双氯芬酸钾分散片|扁桃体炎
双氯芬酸钾分散片|耳炎
双氯芬酸钾分散片|鼻窦炎
注射用盐酸多沙普仑|呼吸衰竭
麦角胺咖啡因片|偏头痛
注射用甘草酸二铵|眼睛充血
注射用甘草酸二铵|眼睛瘙痒
注射用甘草酸二铵|眼睛灼热感
扎来普隆片|失眠
硫酸吗啡片|急性锐痛
硫酸吗啡片|创伤
硫酸吗啡片|战伤
硫酸吗啡片|烧伤
硫酸吗啡片|晚期癌症
硫酸吗啡片|心肌梗死
硫酸吗啡片|心源性哮喘
阿德福韦酯分散片|乙型肝炎
注射用呋塞米|水肿性疾病
注射用呋塞米|充血性心力衰竭
注射用呋塞米|肝硬化
注射用呋塞米|肾脏疾病
注射用呋塞米|肾炎
注射用呋塞米|肾病
注射用呋塞米|急性肾功能衰竭
注射用呋塞米|慢性肾功能衰竭
注射用呋塞米|急性肺水肿
注射用呋塞米|急性脑水肿
注射用呋塞米|肾功能不全
注射用呋塞米|高血压危象
注射用呋塞米|肾脏血流灌注不足
注射用呋塞米|急性肾小管坏死
注射用呋塞米|高钾血症
注射用呋塞米|高钙血症
注射用呋塞米|稀释性低钠血症
注射用呋塞米|抗利尿激素分泌过多症
注射用呋塞米|急性药物毒物中毒
注射用呋塞米|巴比妥类药物中毒
更昔洛韦注射液|艾滋病
更昔洛韦注射液|免疫缺陷
更昔洛韦注射液|巨细胞病毒视网膜炎
注射用苯巴比妥钠|惊厥
注射用苯巴比妥钠|癫痫
氯雷他定糖浆|过敏性鼻炎
氯雷他定糖浆|慢性荨麻疹
氯雷他定糖浆|瘙痒性皮肤病
磷酸可待因注射液|疼痛
磷酸可待因注射液|剧烈干咳
磷酸可待因注射液|阵发性干咳
磷酸可待因注射液|痉挛性干咳
盐酸阿扑吗啡注射液|中毒
盐酸阿扑吗啡注射液|吸入性肺炎
氯硝西泮注射液|癫痫
氯硝西泮注射液|失神发作
氯硝西泮注射液|婴儿痉挛症
氯硝西泮注射液|肌阵挛性
氯硝西泮注射液|运动不能性发作
氯硝西泮注射液|Lennox-Gastaut综合征
注射用异戊巴比妥钠|失眠
注射用异戊巴比妥钠|小儿高热惊厥
注射用异戊巴比妥钠|破伤风惊厥
注射用异戊巴比妥钠|子痫
注射用异戊巴比妥钠|癫痫
棕榈哌泊塞嗪注射液|慢性精神分裂症
棕榈哌泊塞嗪注射液|急性非激越型精神分裂症
棕榈哌泊塞嗪注射液|妄想
棕榈哌泊塞嗪注射液|幻觉
氟芬那酸片|风湿性关节炎
氟芬那酸片|类风湿性关节炎
齐多夫定口服溶液|人类免疫缺陷病毒感染
盐酸麻黄碱滴鼻剂|鼻黏膜充血肿胀
盐酸格拉司琼氯化钠注射液|胃肠道痉挛
盐酸格拉司琼氯化钠注射液|肠易激综合征
盐酸格拉司琼氯化钠注射液|胆绞痛
盐酸格拉司琼氯化钠注射液|胆管痉挛
盐酸格拉司琼氯化钠注射液|胆囊炎
盐酸格拉司琼氯化钠注射液|胆管炎
盐酸格拉司琼氯化钠注射液|肾绞痛
盐酸格拉司琼氯化钠注射液|泌尿道痉挛
盐酸格拉司琼氯化钠注射液|肾结石
盐酸格拉司琼氯化钠注射液|输尿管结石
盐酸格拉司琼氯化钠注射液|肾盂肾炎
盐酸格拉司琼氯化钠注射液|膀胱炎
盐酸格拉司琼氯化钠注射液|子宫痉挛
盐酸格拉司琼氯化钠注射液|痛经
盐酸格拉司琼氯化钠注射液|先兆流产
盐酸格拉司琼氯化钠注射液|冠状动脉功能不全
盐酸格拉司琼氯化钠注射液|闭塞性动脉内膜炎
盐酸格拉司琼氯化钠注射液|心绞痛
注射用叶酸|巨幼红细胞贫血
注射用因卡膦酸二钠|恶性肿瘤
注射用因卡膦酸二钠|骨转移疼痛
盐酸帕洛诺司琼注射液|急性恶心
盐酸帕洛诺司琼注射液|呕吐
苯扎贝特片|原发性高脂血症
苯扎贝特片|继发性高脂血症
盐酸吡格列酮片|糖尿病
那格列奈片|2型糖尿病
锡类散|咽喉糜烂肿痛
奥美沙坦酯片|高血压
佐米曲普坦分散片|偏头痛
格列本脲片|2型糖尿病
盐酸二甲双胍缓释片|鼻咽感染
盐酸二甲双胍缓释片|下呼吸道感染
盐酸二甲双胍缓释片|皮肤软组织感染
盐酸二甲双胍缓释片|扁桃体炎
盐酸二甲双胍缓释片|咽炎
盐酸二甲双胍缓释片|鼻窦炎
盐酸二甲双胍缓释片|急性支气管炎
盐酸二甲双胍缓释片|慢性支气管炎急性发作
盐酸二甲双胍缓释片|肺炎
盐酸二甲双胍缓释片|脓疱病
盐酸二甲双胍缓释片|丹毒
盐酸二甲双胍缓释片|毛囊炎
盐酸二甲双胍缓释片|疖
盐酸二甲双胍缓释片|伤口感染
盐酸二甲双胍缓释片|急性中耳炎
盐酸二甲双胍缓释片|支原体肺炎
盐酸二甲双胍缓释片|尿道炎
盐酸二甲双胍缓释片|宫颈炎
盐酸二甲双胍缓释片|军团菌感染
盐酸二甲双胍缓释片|鸟分枝杆菌感染
盐酸二甲双胍缓释片|幽门螺杆菌感染
草酸艾司西酞普兰片|重症抑郁症
草酸艾司西酞普兰片|广泛性焦虑
罗红霉素分散片|咽炎
罗红霉素分散片|扁桃体炎
罗红霉素分散片|鼻窦炎
罗红霉素分散片|中耳炎
罗红霉素分散片|急性支气管炎
罗红霉素分散片|慢性支气管炎急性发作
罗红霉素分散片|肺炎
罗红霉素分散片|尿道炎
罗红霉素分散片|宫颈炎
罗红霉素分散片|皮肤软组织感染
依托红霉素片|急性扁桃体炎
依托红霉素片|急性咽炎
依托红霉素片|鼻窦炎
依托红霉素片|猩红热
依托红霉素片|蜂窝织炎
依托红霉素片|白喉
依托红霉素片|气性坏疽
依托红霉素片|炭疽
依托红霉素片|破伤风
依托红霉素片|放线菌病
依托红霉素片|梅毒
依托红霉素片|李斯特菌病
依托红霉素片|军团菌病
依托红霉素片|肺炎支原体肺炎
依托红霉素片|肺炎衣原体肺炎
依托红霉素片|沙眼衣原体结膜炎
依托红霉素片|口腔感染
依托红霉素片|泌尿生殖系感染
依托红霉素片|空肠弯曲菌肠炎
依托红霉素片|百日咳
依托红霉素片|风湿热复发
依托红霉素片|感染性心内膜炎
依托红霉素片|上呼吸道感染
拉坦前列素滴眼液|开角型青光眼
拉坦前列素滴眼液|高眼压症
感冒清热颗粒|风寒
感冒清热颗粒|感冒
感冒清热颗粒|头痛
感冒清热颗粒|发热
感冒清热颗粒|咳嗽
板蓝根颗粒|急性扁桃体炎
乙胺嘧啶片|疟疾
乙胺嘧啶片|弓形虫病
阿司匹林片|发热
阿司匹林片|头痛
阿司匹林片|神经痛
阿司匹林片|肌肉痛
阿司匹林片|风湿热
阿司匹林片|急性风湿性关节炎
阿司匹林片|类风湿性关节炎
阿司匹林片|心肌炎
阿司匹林片|痛风
阿司匹林片|心肌梗塞
阿司匹林片|动脉血栓
阿司匹林片|动脉粥样硬化
阿司匹林片|胆道蛔虫病
阿司匹林片|足癣
清感九味丸|感冒
清感九味丸|咳嗽
清感九味丸|发热
润燥止痒胶囊|皮肤瘙痒
润燥止痒胶囊|痤疮
润燥止痒胶囊|便秘
肠炎宁颗粒|急性胃肠炎
肠炎宁颗粒|慢性胃肠炎
肠炎宁颗粒|腹泻
肠炎宁颗粒|细菌性痢疾
肠炎宁颗粒|小儿消化不良
铝碳酸镁咀嚼片|胃溃疡
铝碳酸镁咀嚼片|十二指肠溃疡
铝碳酸镁咀嚼片|急慢性胃炎
铝碳酸镁咀嚼片|胆汁反流性胃炎
铝碳酸镁咀嚼片|食管炎
铝碳酸镁咀嚼片|非溃疡性消化不良
胃痛宁片|胃脘疼痛
胃痛宁片|胃酸过多
胃痛宁片|便秘
枸橼酸铋钾颗粒|胃溃疡
枸橼酸铋钾颗粒|十二指肠溃疡
枸橼酸铋钾颗粒|复合性溃疡
枸橼酸铋钾颗粒|吻合口溃疡
地巴唑片|高血压
地巴唑片|脑血管痉挛
地巴唑片|胃肠平滑肌痉挛
地巴唑片|脊髓灰质炎后遗症
地巴唑片|外周颜面神经麻痹
地巴唑片|妊娠后高血压综合征
枸橼酸铋雷尼替丁片|良性胃溃疡
枸橼酸铋雷尼替丁片|十二指肠溃疡
参倍固肠胶囊|慢性腹泻
参倍固肠胶囊|腹痛
参倍固肠胶囊|肠易激综合征
九味肝泰胶囊|食欲不振
九味肝泰胶囊|气滞血瘀
九味肝泰胶囊|肝郁脾虚
九味肝泰胶囊|腹胀脘痞
九味肝泰胶囊|胁下痞块
九味肝泰胶囊|大便不调
替硝唑片|滴虫病
替硝唑片|贾第鞭毛虫病
替硝唑片|阿米巴病
替硝唑片|细菌性阴道炎
替硝唑片|十二指肠溃疡
替硝唑片|腹膜炎
替硝唑片|子宫内膜炎
替硝唑片|子宫肌内膜炎
替硝唑片|输卵管－卵巢脓肿
替硝唑片|败血症
替硝唑片|术后伤口感染
替硝唑片|肺炎
替硝唑片|肺部脓肿
替硝唑片|胸腔积脓
替硝唑片|急性溃疡性
替硝唑片|牙龈炎
兰索拉唑片|胃溃疡
兰索拉唑片|十二指肠溃疡
兰索拉唑片|反流性食管炎
兰索拉唑片|胃泌素瘤
艾司奥美拉唑镁肠溶片|糜烂性反流性食管炎
艾司奥美拉唑镁肠溶片|十二指肠溃疡
艾司奥美拉唑镁肠溶片|胃溃疡
艾司奥美拉唑镁肠溶片|中耳炎
艾司奥美拉唑镁肠溶片|鼻窦炎
艾司奥美拉唑镁肠溶片|咽炎
艾司奥美拉唑镁肠溶片|扁桃体炎
艾司奥美拉唑镁肠溶片|泌尿生殖道感染
艾司奥美拉唑镁肠溶片|皮肤软组织感染
艾司奥美拉唑镁肠溶片|急性支气管炎
艾司奥美拉唑镁肠溶片|肺炎
艾司奥美拉唑镁肠溶片|急性单纯性淋病
艾司奥美拉唑镁肠溶片|钩端螺旋体病
艾司奥美拉唑镁肠溶片|消化道溃疡
艾司奥美拉唑镁肠溶片|尿道炎
艾司奥美拉唑镁肠溶片|宫颈炎
艾司奥美拉唑镁肠溶片|军团菌感染
长春西汀葡萄糖注射液|脑梗塞后遗症
长春西汀葡萄糖注射液|脑出血后遗症
长春西汀葡萄糖注射液|脑动脉硬化症
美洛昔康片|骨关节炎
美洛昔康片|类风湿性关节炎
美洛昔康片|强直性脊柱炎
马来酸曲美布汀片|胃肠道运动功能紊乱
马来酸曲美布汀片|肠道易激惹综合征
胃康胶囊|气滞血瘀
胃康胶囊|胃溃疡
胃康胶囊|十二指肠溃疡
胃康胶囊|慢性胃炎
胃康胶囊|上消化道出血
瑞巴派特片|胃溃疡
瑞巴派特片|急性胃炎
瑞巴派特片|慢性胃炎
柳氮磺吡啶栓|溃疡性结肠炎
柳氮磺吡啶栓|非特异性慢性结肠炎
复方聚乙二醇电解质散|便秘
复方黄连素片|肠炎
复方黄连素片|痢疾
安胃疡胶囊|胃溃疡
安胃疡胶囊|十二指肠溃疡
雷贝拉唑钠肠溶片|十二指肠溃疡
雷贝拉唑钠肠溶片|胃溃疡
雷贝拉唑钠肠溶片|胃-食管返流征
蒙脱石散|急性腹泻
蒙脱石散|慢性腹泻
蒙脱石散|疼痛
兰索拉唑肠溶片|胃溃疡
兰索拉唑肠溶片|十二指肠溃疡
兰索拉唑肠溶片|反流性食管炎
兰索拉唑肠溶片|胃泌素瘤
康复新液|胃痛
康复新液|胃出血
康复新液|胃溃疡
康复新液|十二指肠溃疡
康复新液|肺痨
康复新液|肺结核
康复新液|金疮
康复新液|外伤
康复新液|溃疡
康复新液|瘘管
康复新液|烧伤
康复新液|烫伤
康复新液|褥疮
奥美拉唑肠溶片|胃溃疡
奥美拉唑肠溶片|十二指肠溃疡
奥美拉唑肠溶片|应激性溃疡
奥美拉唑肠溶片|返流性食管炎
奥美拉唑肠溶片|胃泌素瘤
摩罗丹|慢性萎缩性胃炎
摩罗丹|胃痛
摩罗丹|嗳气
甲苯咪唑片|蛲虫病
甲苯咪唑片|蛔虫病
甲苯咪唑片|鞭虫病
甲苯咪唑片|十二指肠钩虫病
甲苯咪唑片|粪类圆线虫病
甲苯咪唑片|绦虫病
泛昔洛韦分散片|厌食
泛昔洛韦分散片|机械性胃肠道功能紊乱
泮托拉唑钠肠溶片|胃溃疡
泮托拉唑钠肠溶片|十二指肠溃疡
泮托拉唑钠肠溶片|反流性食管炎
泮托拉唑钠肠溶片|胃泌素瘤
盐酸昂丹司琼片|恶心
盐酸昂丹司琼片|呕吐
通便灵胶囊|便秘
格列喹酮分散片|2型糖尿病
盐酸吡格列酮分散片|2型糖尿病
芪明颗粒|2型糖尿病
芪明颗粒|2型糖尿病视网膜病变单纯型
芪明颗粒|盗汗
芪明颗粒|便秘
芪明颗粒|头晕
芪明颗粒|耳鸣
依帕司他片|糖尿病
依帕司他片|糖尿病神经性病变
盐酸二甲双胍片|2型糖尿病
盐酸二甲双胍片|高胰岛素血症
木丹颗粒|糖尿病
木丹颗粒|糖尿病周围神经病变
格列美脲片|2型糖尿病
格列吡嗪片|2型糖尿病
胰激肽原酶肠溶片|糖尿病
胰激肽原酶肠溶片|肾病
胰激肽原酶肠溶片|周围神经病
胰激肽原酶肠溶片|视网膜病
胰激肽原酶肠溶片|眼底病
胰激肽原酶肠溶片|缺血性脑血管病
胰激肽原酶肠溶片|高血压
胰激肽原酶肠溶片|微循环障碍
盐酸二甲双胍肠溶片|2型糖尿病
盐酸二甲双胍肠溶片|高胰岛素血症
格列喹酮片|2型糖尿病
阿卡波糖片|2型糖尿病
瑞格列奈片|2型糖尿病
伏格列波糖片|高血糖
伏格列波糖片|糖尿病
消渴丸|消渴病
消渴丸|糖尿病
格列吡嗪控释片|2型糖尿病
羟苯磺酸钙分散片|糖尿病
羟苯磺酸钙分散片|糖尿病性微血管病变
羟苯磺酸钙分散片|视网膜病
羟苯磺酸钙分散片|肾小球硬化症
羟苯磺酸钙分散片|微循环障碍
羟苯磺酸钙分散片|高血压
羟苯磺酸钙分散片|动脉硬化
羟苯磺酸钙分散片|肝硬变
羟苯磺酸钙分散片|静脉曲张综合症
羟苯磺酸钙分散片|疼痛
羟苯磺酸钙分散片|腿痛
羟苯磺酸钙分散片|肌肉痛性痉挛
羟苯磺酸钙分散片|手足发绀症
羟苯磺酸钙分散片|紫癜性皮炎
羟苯磺酸钙分散片|慢性静脉功能不全
羟苯磺酸钙分散片|静脉炎
羟苯磺酸钙分散片|表浅性血栓性静脉炎
羟苯磺酸钙分散片|血栓性综合症
羟苯磺酸钙分散片|静脉曲张性溃疡
羟苯磺酸钙分散片|妊娠静脉曲张
羟苯磺酸钙分散片|痔疮综合症
羟苯磺酸钙分散片|静脉曲张
丙硫氧嘧啶片|甲状腺功能亢进症
罗格列酮钠片|2型糖尿病患者
伏格列波糖分散片|糖尿病
伏格列波糖分散片|高血糖
盐酸金霉素眼膏|浅表眼部感染
盐酸金霉素眼膏|沙眼
珍珠明目滴眼液|老年性白内障
珍珠明目滴眼液|慢性结膜炎
珍珠明目滴眼液|视疲劳
珍珠明目滴眼液|眼胀
珍珠明目滴眼液|眼痛
珍珠明目滴眼液|眼干涩
盐酸舍曲林分散片|抑郁症
盐酸舍曲林分散片|焦虑
盐酸舍曲林分散片|狂躁
盐酸舍曲林分散片|强迫症
麝珠明目滴眼液|老年性白内障
麝珠明目滴眼液|视疲劳
麝珠明目滴眼液|视物模糊
麝珠明目滴眼液|眼胀
麝珠明目滴眼液|眼痛
麝珠明目滴眼液|眼干涩
磺胺醋酰钠滴眼液|浅表性结膜炎
磺胺醋酰钠滴眼液|角膜炎
磺胺醋酰钠滴眼液|睑缘炎
磺胺醋酰钠滴眼液|沙眼
磺胺醋酰钠滴眼液|眼外伤
磺胺醋酰钠滴眼液|慢性泪囊炎
明目地黄丸|眼干涩
明目地黄丸|畏光
明目地黄丸|视物模糊
明目地黄丸|迎风流泪
左归丸|腰酸膝软
左归丸|盗汗
利巴韦林滴眼液|单纯疱疹病毒性角膜炎
和血明目片|视网膜静脉阻塞
和血明目片|玻璃体积血
和血明目片|黄斑出血
和血明目片|黄斑盘状变性
和血明目片|视网膜周围炎
和血明目片|糖尿病视网膜病变
和血明目片|外伤性眼底出血
和血明目片|高血压视网膜病变
和血明目片|中心性渗出性视网膜病变
和血明目片|视盘血管炎
鱼腥草滴眼液|急性卡他性结膜炎
鱼腥草滴眼液|流行性角结膜炎
鱼腥草滴眼液|眼痛
双氯芬酸钠滴眼液|葡萄膜炎
双氯芬酸钠滴眼液|角膜炎
双氯芬酸钠滴眼液|巩膜炎
双氯芬酸钠滴眼液|春季结膜炎
双氯芬酸钠滴眼液|季节过敏性结膜炎
双氯芬酸钠滴眼液|白内障
双氯芬酸钠滴眼液|黄斑囊样水肿
阿昔洛韦滴眼液|单纯疱疹性角膜炎
注射用头孢曲松钠他唑巴坦钠|下呼吸道感染
注射用头孢曲松钠他唑巴坦钠|肺炎
注射用头孢曲松钠他唑巴坦钠|慢性支气管炎急性发作
注射用头孢曲松钠他唑巴坦钠|急性支气管炎
注射用头孢曲松钠他唑巴坦钠|肺脓肿
注射用头孢曲松钠他唑巴坦钠|急性细菌性中耳炎
注射用头孢曲松钠他唑巴坦钠|皮肤软组织感染
注射用头孢曲松钠他唑巴坦钠|尿路感染
注射用头孢曲松钠他唑巴坦钠|细菌性败血症
注射用头孢曲松钠他唑巴坦钠|单纯性淋病
注射用头孢曲松钠他唑巴坦钠|盆腔炎
注射用头孢曲松钠他唑巴坦钠|菌血症
注射用头孢曲松钠他唑巴坦钠|败血症
注射用头孢曲松钠他唑巴坦钠|骨关节感染
注射用头孢曲松钠他唑巴坦钠|腹腔内感染
注射用头孢曲松钠他唑巴坦钠|脑膜炎
茶苯海明片|晕动病
茶苯海明片|放射病
茶苯海明片|恶心
茶苯海明片|呕吐
茶苯海明片|美尼尔病
苯磺酸氨氯地平片|高血压
苯磺酸氨氯地平片|心绞痛
苯磺酸氨氯地平片|肝功能不全
坎地沙坦酯分散片|原发性高血压
安宫牛黄丸|高热
安宫牛黄丸|中风
安宫牛黄丸|昏迷
安宫牛黄丸|谵妄
安宫牛黄丸|惊厥
安宫牛黄丸|抽搐
赖诺普利片|原发性高血压
赖诺普利片|肾血管性高血压
赖诺普利片|充血性心力衰竭
赖诺普利片|急性心肌梗塞
氢溴酸加兰他敏缓释片|血栓栓塞性疾病
氢溴酸加兰他敏缓释片|心肌梗死
葛兰心宁软胶囊|冠心病
葛兰心宁软胶囊|心绞痛
苯磺酸左旋氨氯地平片|高血压
苯磺酸左旋氨氯地平片|心绞痛
致康胶囊|创伤性出血
致康胶囊|崩漏
致康胶囊|呕血
致康胶囊|便血
氨甲环酸片|出血
